1426506534.496967,$SFIMU,13,11,205,63,37,1*41
1426506534.505183,$SFIMU,13,7,206,62,36,4*70
1426506534.518343,$SFIMU,14,6,206,61,35,0*72
1426506534.524990,$SFIMU,14,6,206,60,38,2*7C
1426506534.535235,$SFIMU,14,6,205,60,40,2*70
1426506534.544920,$SFIMU,12,8,207,59,37,1*73
1426506534.553970,$SFIMU,9,7,206,60,41,2*4F
1426506534.564086,$SFIMU,11,9,205,59,37,0*72
1426506534.574084,$SFIMU,12,8,202,60,37,2*7F
1426506534.584530,$SFIMU,11,8,206,59,39,0*7E
1426506534.594067,$SFIMU,13,9,206,59,39,2*7F
1426506534.604077,$SFIMU,11,10,206,61,36,3*40
1426506534.614541,$SFIMU,10,8,209,57,36,2*73
1426506534.623019,$SFIMU,11,6,204,60,39,2*7A
1426506534.633039,$SFIMU,14,6,204,59,39,2*75
1426506534.643049,$SFIMU,12,7,206,60,37,1*77
1426506534.652992,$SFIMU,11,7,205,59,39,0*72
1426506534.663003,$SFIMU,12,7,204,63,34,2*76
1426506534.673420,$SFIMU,12,8,203,60,36,0*7D
1426506534.682991,$SFIMU,11,8,203,61,36,3*7C
1426506534.692050,$SFIMU,10,5,210,60,40,5*74
1426506534.702071,$SFIMU,14,9,207,62,38,1*73
1426506534.711999,$SFIMU,13,9,205,60,37,5*7F
1426506534.722039,$SFIMU,14,10,203,60,38,3*4F
1426506534.731415,$SFIMU,14,9,204,57,35,2*78
1426506534.741965,$SFIMU,14,6,207,59,37,2*78
1426506534.751013,$SFIMU,12,9,203,62,37,2*7D
1426506534.761003,$SFIMU,12,8,203,60,36,1*7C
1426506534.771016,$SFIMU,11,8,204,60,36,4*7D
1426506534.781303,$SFIMU,13,6,203,60,35,4*75
1426506534.790933,$SFIMU,14,8,205,58,36,4*72
1426506534.800917,$SFIMU,11,8,207,59,38,2*7C
1426506534.810391,$SFIMU,11,6,206,60,38,2*79
1426506534.819937,$SFIMU,14,7,204,59,39,4*72
1426506534.829992,$SFIMU,12,7,207,63,38,2*79
1426506534.840001,$SFIMU,11,8,202,61,41,3*7D
1426506534.850815,$SFIMU,13,8,205,58,39,1*7F
1426506534.860790,$SFIMU,13,11,205,61,34,4*45
1426506534.870790,$SFIMU,13,9,208,60,38,0*78
1426506534.880747,$SFIMU,13,10,204,59,40,1*48
1426506534.889320,$SFIMU,15,7,202,59,40,0*7F
1426506534.899299,$SFIMU,12,7,203,60,36,2*70
1426506534.909183,$SFIMU,12,9,204,59,35,2*70
1426506534.918744,$SFIMU,13,5,206,61,37,3*77
1426506534.929545,$SFIMU,12,6,205,61,36,4*70
1426506534.938799,$SFIMU,10,8,205,61,35,3*78
1426506534.947912,$SFIMU,14,7,202,59,36,3*7C
1426506534.958805,$SFIMU,12,8,207,59,35,3*73
1426506534.968743,$SFIMU,14,7,206,61,39,4*7B
